gen	iter_pgen	iter_tot	fit                                        
0  	1        	1       	[0.059376303724535895, 0.06927649326591301]
0  	2        	2       	[0.14519450268672898, 0.13909303599886289] 
0  	3        	3       	[0.27008962229246053, 0.26156709130278166] 
0  	4        	4       	[0.2714533066751685, 0.1817571791291099]   
1  	1        	5       	[0.05937633662684976, 0.0692771142493657]  
1  	2        	6       	[0.1451943654668019, 0.13909366653002916]  
1  	3        	7       	[0.27008962229246053, 0.2605102458994843]  
1  	4        	8       	[0.2714457204095593, 0.1829851049936213]   
